Calendasco comune,Calendasco comune.1
,
Calendasco – Veduta,Calendasco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Filippo Zangrandi (lista civica di centro-sinistra Immagina Calendasco) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°05′N 9°36′E
Altitudine,55 m s.l.m.
Superficie,"36,94 km²"
Abitanti,2 468[1] (30-11-2025)
Densità,"66,81 ab./km²"
Frazioni,"Boscone Cusani, Cotrebbia Nuova, Santimento"
Comuni confinanti,"Guardamiglio (LO), Monticelli Pavese (PV), Orio Litta (LO), Piacenza, Rottofreno, San Rocco al Porto (LO), Senna Lodigiana (LO), Somaglia (LO)"
Altre informazioni,Altre informazioni
Cod. postale,29010
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033008
Cod. catastale,B405
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 707 GG[3]"
Nome abitanti,calendaschesi
Patrono,san Corrado Confalonieri
Giorno festivo,19 febbraio
Cartografia,Cartografia
Calendasco,Calendasco
Calendasco – MappaPosizione del comune di Calendasco nella provincia di Piacenza,Calendasco – MappaPosizione del comune di Calendasco nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
