Piacenza comune,Piacenza comune.1
,
Piacenza – VedutaVeduta aerea del centro città con il palazzo Comunale.,Piacenza – VedutaVeduta aerea del centro città con il palazzo Comunale.
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Katia Tarasconi (PD) dal 29-6-2022
Territorio,Territorio
Coordinate,45°03′N 9°42′E
Altitudine,62 m s.l.m.
Superficie,"118,24 km²"
Abitanti,103 718[1] (30-11-2025)
Densità,"877,18 ab./km²"
Frazioni,"Borghetto, Gerbido, I Vaccari, La Verza, Le Mose, Montale, Mortizza, Mucinasso, Pittolo, Quarto, Roncaglia, San Bonico, Vallera"
Comuni confinanti,"Calendasco, Caorso, Caselle Landi (LO), Corno Giovine (LO), Gossolengo, Gragnano Trebbiense, Podenzano, Pontenure, Rottofreno, San Rocco al Porto (LO), Santo Stefano Lodigiano (LO)"
Altre informazioni,Altre informazioni
Cod. postale,29121–29122
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033032
Cod. catastale,G535
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 715 GG[3]"
Nome abitanti,piacentini
Patrono,"sant'Antonino di Piacenza, santa Giustina di Antiochia"
Giorno festivo,4 luglio
Cartografia,Cartografia
Piacenza,Piacenza
Piacenza – MappaPosizione del comune di Piacenza nell'omonima provincia,Piacenza – MappaPosizione del comune di Piacenza nell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
