Gossolengo comune,Gossolengo comune.1
,
Gossolengo – VedutaPiazza Roma e il municipio,Gossolengo – VedutaPiazza Roma e il municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Andrea Balestrieri (lista civica di centro-destra Tutti per Gossolengo) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°00′N 9°37′E
Altitudine,86 m s.l.m.
Superficie,"31,1 km²"
Abitanti,5 698[1] (30-11-2025)
Densità,"183,22 ab./km²"
Frazioni,"Caratta, Quarto, Settima[2]"
Comuni confinanti,"Gazzola, Gragnano Trebbiense, Piacenza, Podenzano, Rivergaro"
Altre informazioni,Altre informazioni
Cod. postale,29020
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033023
Cod. catastale,E114
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 574 GG[4]"
Nome abitanti,gossolenghesi
Patrono,san Quintino
Giorno festivo,31 ottobre
Cartografia,Cartografia
Gossolengo,Gossolengo
Gossolengo – MappaPosizione del comune di Gossolengo nella provincia di Piacenza,Gossolengo – MappaPosizione del comune di Gossolengo nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
