Rivergaro comune,Rivergaro comune.1
,
Rivergaro – VedutaPiazza Paolo,Rivergaro – VedutaPiazza Paolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Andrea Gatti (lista civica di centro-sinistra Insieme per Rivergaro) dal 9-6-2024
Territorio,Territorio
Coordinate,44°54′N 9°36′E
Altitudine,140 m s.l.m.
Superficie,"43,83 km²"
Abitanti,7 176[1] (30-11-2025)
Densità,"163,72 ab./km²"
Frazioni,"Acquesio, Ancarano, Bassano, Ca' Buschi, Cisiano, Diara, Fabiano, Larzano, Mirafiori, Mandrola, Niviano, Ottavello, Pieve Dugliara, Pozzolo, Rallio di Montechiaro, Roveleto Landi, Suzzano"
Comuni confinanti,"Gazzola, Gossolengo, Podenzano, Travo, Vigolzone"
Altre informazioni,Altre informazioni
Cod. postale,29029
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033038
Cod. catastale,H350
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 636 GG[3]"
Nome abitanti,rivergaresi
Cartografia,Cartografia
Rivergaro,Rivergaro
Rivergaro – MappaPosizione del comune di Rivergaro nella provincia di Piacenza,Rivergaro – MappaPosizione del comune di Rivergaro nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
