Castelvetro Piacentino comune,Castelvetro Piacentino comune.1
,
Castelvetro Piacentino – VedutaPalazzo comunale,Castelvetro Piacentino – VedutaPalazzo comunale
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Silvia Granata (lista civica di centro-sinistra Castelvetro per te) dal 14-5-2023
Territorio,Territorio
Coordinate,45°06′01.21″N 9°59′12.18″E
Altitudine,39 m s.l.m.
Superficie,"35,06 km²"
Abitanti,5 414[1] (30-11-2025)
Densità,"154,42 ab./km²"
Frazioni,"Croce Santo Spirito, Mezzano Chitantolo, San Giuliano, San Pietro in Corte (San Pedretto)"
Comuni confinanti,"Cremona (CR), Gerre de' Caprioli (CR), Monticelli d'Ongina, Spinadesco (CR), Stagno Lombardo (CR), Villanova sull'Arda"
Altre informazioni,Altre informazioni
Cod. postale,29010
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033014
Cod. catastale,C288
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 381 GG[3]"
Nome abitanti,castelvetresi
Cartografia,Cartografia
Castelvetro Piacentino,Castelvetro Piacentino
Castelvetro Piacentino – MappaPosizione del comune di Castelvetro Piacentino nella provincia di Piacenza,Castelvetro Piacentino – MappaPosizione del comune di Castelvetro Piacentino nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
