Corte Brugnatella comune,Corte Brugnatella comune.1
,
Corte Brugnatella – VedutaVeduta di Marsaglia e Brugnello,Corte Brugnatella – VedutaVeduta di Marsaglia e Brugnello
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Renato Bertonazzi (lista civica di centro-sinistra: Riscopriamo Corte Brugnatella) dal 14-5-2023
Territorio,Territorio
Coordinate,44°42′56.76″N 9°21′37.04″E
Altitudine,476 m s.l.m.
Superficie,"46,31 km²"
Abitanti,500[1] (30-11-2025)
Densità,"10,8 ab./km²"
Frazioni,"Botteri, Brugnello, Carana, Casaldrino, Castelvetto, Collegio, Confiente, Cornareto, Lago, Lama Superiore, Lupi, Marsaglia (sede comunale), Metteglia, Montarsolo, Ozzola, Pietranera, Pieve di Montarsolo, Poggio Rondino, Roncoli, Rossarola, Rovaiola, Sanguineto, Valle Inferiore"
Comuni confinanti,"Brallo di Pregola (PV), Bobbio, Cerignale, Coli, Ferriere"
Altre informazioni,Altre informazioni
Cod. postale,29020
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033017
Cod. catastale,D054
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 902 GG[3]"
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Corte Brugnatella,Corte Brugnatella
Corte Brugnatella – MappaPosizione del comune di Corte Brugnatella nella provincia di Piacenza,Corte Brugnatella – MappaPosizione del comune di Corte Brugnatella nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
