Ferriere comune,Ferriere comune.1
,
Ferriere – VedutaIl centro del paese con il ponte sul torrente Nure,Ferriere – VedutaIl centro del paese con il ponte sul torrente Nure
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Carlotta Oppizzi (lista civica di centro-destra Ferriere radici e futuro) dal 20-9-2020
Territorio,Territorio
Coordinate,44°38′37.86″N 9°29′47.65″E
Altitudine,626 m s.l.m.
Superficie,"178,5 km²"
Abitanti,1 087[1] (30-11-2025)
Densità,"6,09 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Bardi (PR), Bedonia (PR), Cerignale, Coli, Corte Brugnatella, Farini, Ottone, Rezzoaglio (GE), Santo Stefano d'Aveto (GE)"
Altre informazioni,Altre informazioni
Cod. postale,29024
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033020
Cod. catastale,D555
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 258 GG[3]"
Nome abitanti,ferrieresi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Ferriere,Ferriere
Ferriere – MappaPosizione del comune di Ferriere nella provincia di Piacenza,Ferriere – MappaPosizione del comune di Ferriere nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
