Pontenure comune,Pontenure comune.1
,
Pontenure – VedutaVeduta,Pontenure – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Attilio Ubaldi (Commissario prefettizio) dal 26-08-2025
Territorio,Territorio
Coordinate,45°00′N 9°47′E
Altitudine,65 m s.l.m.
Superficie,"33,85 km²"
Abitanti,6 734[1] (30-11-2025)
Densità,"198,94 ab./km²"
Frazioni,"Muradello, Paderna, Valconasso"
Comuni confinanti,"Cadeo, Caorso, Carpaneto Piacentino, Cortemaggiore, Piacenza, Podenzano, San Giorgio Piacentino"
Altre informazioni,Altre informazioni
Cod. postale,29010
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033037
Cod. catastale,G852
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 670 GG[3]"
Nome abitanti,pontenuresi
Patrono,san Pietro Apostolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Pontenure,Pontenure
Pontenure – MappaPosizione del comune di Pontenure nella provincia di Piacenza,Pontenure – MappaPosizione del comune di Pontenure nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
