Vigolzone comune,Vigolzone comune.1
,
Vigolzone – VedutaL'ingresso del castello di Vigolzone,Vigolzone – VedutaL'ingresso del castello di Vigolzone
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Gianluca Argellati (lista civica di centro-destra Uniti per Vigolzone) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°55′N 9°40′E
Altitudine,151 m s.l.m.
Superficie,"42,04 km²"
Abitanti,4 313[1] (30-11-2025)
Densità,"102,59 ab./km²"
Frazioni,"Albarola, Bicchignano, Borgo di Sotto, Cabina, Carmiano, Chiulano, Grazzano Visconti, Veano, Villò"
Comuni confinanti,"Bettola, Podenzano, Ponte dell'Olio, Rivergaro, San Giorgio Piacentino, Travo"
Altre informazioni,Altre informazioni
Cod. postale,29020
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033045
Cod. catastale,L897
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 668 GG[3]"
Nome abitanti,vigolzonesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Vigolzone,Vigolzone
Vigolzone – MappaPosizione del comune di Vigolzone nella provincia di Piacenza,Vigolzone – MappaPosizione del comune di Vigolzone nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
