Farini comune,Farini comune.1
,
Farini – VedutaLa frazione Groppallo,Farini – VedutaLa frazione Groppallo
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Marco Paganelli (lista civica di centro-destra '24 Farini[1][2]) dal 9-6-2024
Territorio,Territorio
Coordinate,44°43′N 9°34′E
Altitudine,424 m s.l.m.
Superficie,"112,36 km²"
Abitanti,1 041[3] (30-11-2025)
Densità,"9,26 ab./km²"
Frazioni,"Boli, Boccolo Noce, Cogno San Bassano, Cogno San Savino, Costabiancona, Poggioli, Coletta, Groppallo, Groppazzolo, Le Moline, Liscato, Mangiarosto, Mareto, Vediceto, Vigonzano, Guglieri, Russi, Montereggio, Monticelli, Pradovera, Stomboli, Unghia Sotto, Canova."
Comuni confinanti,"Bardi (PR), Bettola, Coli, Ferriere, Morfasso"
Altre informazioni,Altre informazioni
Cod. postale,29023
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033019
Cod. catastale,D502
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 893 GG[5]"
Nome abitanti,farinesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Farini,Farini
Farini – MappaPosizione del comune di Farini nella provincia di Piacenza,Farini – MappaPosizione del comune di Farini nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
