Alseno comune,Alseno comune.1
,
Alseno – VedutaPalazzo Landi,Alseno – VedutaPalazzo Landi
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Davide Zucchi (lista civica di centro-destra Progetto Alseno) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°54′N 9°58′E
Altitudine,79 m s.l.m.
Superficie,"55,27 km²"
Abitanti,4 785[1] (30-11-2025)
Densità,"86,57 ab./km²"
Frazioni,"Castelnuovo Fogliani, Chiaravalle della Colomba, Cortina, Lusurasco, Caselle, Badone di Sotto, Borio, Calcinara, Case Boccelli, Case Garibaldi, Case sparse, Fellegara, Garibaldi, Stazione di Alseno"
Comuni confinanti,"Besenzone, Busseto (PR), Castell'Arquato, Fidenza (PR), Fiorenzuola d'Arda, Salsomaggiore Terme (PR), Vernasca"
Altre informazioni,Altre informazioni
Cod. postale,29010
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033002
Cod. catastale,A223
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 605 GG[3]"
Nome abitanti,alsenesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Alseno,Alseno
Alseno – MappaPosizione del comune di Alseno nella provincia di Piacenza,Alseno – MappaPosizione del comune di Alseno nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
