Bobbio comune,Bobbio comune.1
,
Bobbio – VedutaPanorama di Bobbio,Bobbio – VedutaPanorama di Bobbio
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Roberto Pasquali (lista civica di centro-sinistra Bobbio 2000 - Città d'Europa) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,14 febbraio 1014
Territorio,Territorio
Coordinate,44°46′17.4″N 9°23′11.04″E
Altitudine,272 m s.l.m.
Superficie,"106,53 km²"
Abitanti,3 341[1] (30-11-2025)
Densità,"31,36 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Alta Val Tidone, Brallo di Pregola (PV), Coli, Corte Brugnatella, Menconico (PV), Piozzano, Romagnese (PV), Santa Margherita di Staffora (PV), Travo"
Altre informazioni,Altre informazioni
Cod. postale,29022
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033005
Cod. catastale,A909
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 802 GG[3]"
Nome abitanti,bobbiesi
Patrono,"san Colombano, Madonna dell'Aiuto, santa Maria Assunta, sant'Antonio Gianelli"
Giorno festivo,"23 novembre, 15 agosto"
Soprannome,Montecassino del Nord[4]
Cartografia,Cartografia
Bobbio,Bobbio
Bobbio – MappaPosizione del comune di Bobbio nella Provincia di Piacenza,Bobbio – MappaPosizione del comune di Bobbio nella Provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
