Travo comune,Travo comune.1
,
Travo – Veduta,Travo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Roberta Valla (lista civica di centro-sinistra Noi Travoi) dal 9-6-2024
Territorio,Territorio
Coordinate,44°52′N 9°33′E
Altitudine,171 m s.l.m.
Superficie,"81,01 km²"
Abitanti,2 170[1] (30-11-2025)
Densità,"26,79 ab./km²"
Frazioni,"Bobbiano, Casino Agnelli Caverzago, Due Bandiere, Fellino, Marchesi, Pigazzano, Pillori, Quadrelli, Statto, Viserano[2]"
Comuni confinanti,"Alta Val Tidone, Bettola, Bobbio, Coli, Gazzola, Piozzano, Rivergaro, Vigolzone"
Altre informazioni,Altre informazioni
Cod. postale,29020
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033043
Cod. catastale,L348
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 673 GG[4]"
Nome abitanti,travesi
Patrono,sant'Antonino
Giorno festivo,4 luglio
Cartografia,Cartografia
Travo,Travo
Travo – MappaPosizione del comune di Travo nella provincia di Piacenza,Travo – MappaPosizione del comune di Travo nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
