Carpaneto Piacentino comune,Carpaneto Piacentino comune.1
,
Carpaneto Piacentino – VedutaPanoramica di piazza XX Settembre,Carpaneto Piacentino – VedutaPanoramica di piazza XX Settembre
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Andrea Arfani (lista civica di centro-destra Carpaneto insieme) dal 12-6-2017 (2º mandato dal 13-6-2022)
Data di istituzione,1805
Territorio,Territorio
Coordinate,44°55′N 9°47′E
Altitudine,114 m s.l.m.
Superficie,"63,08 km²"
Abitanti,7 762[1] (30-11-2025)
Densità,"123,05 ab./km²"
Frazioni,"Badagnano-Olmeto, Celleri, Ceradello, Cerreto Landi, Chero, Cimafava, Ciriano, Magnano, Montanaro, Rezzano, Travazzano, Zena[2]"
Comuni confinanti,"Cadeo, Castell'Arquato, Fiorenzuola d'Arda, Gropparello, Lugagnano Val d'Arda, Pontenure, San Giorgio Piacentino"
Altre informazioni,Altre informazioni
Cod. postale,29013
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033011
Cod. catastale,B812
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 682 GG[4]"
Nome abitanti,carpanetesi
Patrono,santi Fermo e Rustico
Giorno festivo,9 agosto
Cartografia,Cartografia
Carpaneto Piacentino,Carpaneto Piacentino
Carpaneto Piacentino – MappaPosizione del comune di Carpaneto Piacentino nella provincia di Piacenza,Carpaneto Piacentino – MappaPosizione del comune di Carpaneto Piacentino nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
