Ottone comune,Ottone comune.1
,
Ottone – VedutaPanorama di Ottone,Ottone – VedutaPanorama di Ottone
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Federico Beccia (lista civica di centro-destra Ottone libera) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°37′N 9°20′E
Altitudine,510 m s.l.m.
Superficie,"98,96 km²"
Abitanti,387[1] (30-11-2025)
Densità,"3,91 ab./km²"
Frazioni,"Artana, Barchi, Belnome, Bertassi, Bertone, Bogli, Campi, Cattribiasca, Croce, Fabbrica, Frassi, Gramizzola, La Cà, Losso, Moglia, Monfagiano, Orezzoli là, Orezzoli qua, Ottone Soprano, Pizzonero, Rettagliata, Rocca Corvi, Santa Maria, Semensi, Suzzi, Tartago, Toveraia, Traschio, Truzzi, Valsigiara"
Comuni confinanti,"Cabella Ligure (AL), Carrega Ligure (AL), Cerignale, Zerba, Ferriere, Gorreto (GE), Rezzoaglio (GE), Rovegno (GE)"
Altre informazioni,Altre informazioni
Cod. postale,29026
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033030
Cod. catastale,G195
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 737 GG[3]"
Nome abitanti,ottonesi
Patrono,san Marziano
Giorno festivo,24 agosto
Cartografia,Cartografia
Ottone,Ottone
Ottone – MappaPosizione del comune di Ottone nella provincia di Piacenza,Ottone – MappaPosizione del comune di Ottone nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
