Ziano Piacentino comune,Ziano Piacentino comune.1
,
Ziano Piacentino – Veduta,Ziano Piacentino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Manuel Ghilardelli (lista civica di centro-destra Ghilardelli per Ziano) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°00′N 9°24′E
Altitudine,220 m s.l.m.
Superficie,"32,78 km²"
Abitanti,2 540[1] (30-11-2025)
Densità,"77,49 ab./km²"
Frazioni,"Albareto, Calcinara, Fornello, Montalbo, Seminò, Vicobarone, Vicomarino"
Comuni confinanti,"Alta Val Tidone, Borgonovo Val Tidone, Castel San Giovanni, Rovescala (PV), Santa Maria della Versa (PV)"
Altre informazioni,Altre informazioni
Cod. postale,29010
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033048
Cod. catastale,L848
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 739 GG[3]"
Nome abitanti,zianesi
Patrono,Conversione di san Paolo
Giorno festivo,25 gennaio (conversione di San Paolo)
Cartografia,Cartografia
Ziano Piacentino,Ziano Piacentino
Ziano Piacentino – MappaPosizione del comune di Ziano Piacentino nella provincia di Piacenza,Ziano Piacentino – MappaPosizione del comune di Ziano Piacentino nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
