Gragnano Trebbiense comune,Gragnano Trebbiense comune.1
,
Gragnano Trebbiense – VedutaLa chiesa di San Michele,Gragnano Trebbiense – VedutaLa chiesa di San Michele
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Patrizia Calza (Lista civica di centro-sinistra Per Gragnano Solidarietà e Sviluppo) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°01′N 9°34′E
Altitudine,82 m s.l.m.
Superficie,"34,61 km²"
Abitanti,4 512[1] (30-11-2025)
Densità,"130,37 ab./km²"
Frazioni,"Campremoldo Sopra, Campremoldo Sotto, Casaliggio, Costa, Gragnanino"
Comuni confinanti,"Agazzano, Borgonovo Val Tidone, Gazzola, Gossolengo, Piacenza, Rottofreno"
Altre informazioni,Altre informazioni
Cod. postale,29010
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033024
Cod. catastale,E132
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 563 GG[3]"
Nome abitanti,gragnanesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Gragnano Trebbiense,Gragnano Trebbiense
Gragnano Trebbiense – MappaPosizione del comune di Gragnano Trebbiense nella provincia di Piacenza,Gragnano Trebbiense – MappaPosizione del comune di Gragnano Trebbiense nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
