Cerignale comune,Cerignale comune.1
,
Cerignale – Veduta,Cerignale – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Fausta Pizzaghi (lista civica di sinistra Pizzaghi sindaco) dal 14-5-2023
Territorio,Territorio
Coordinate,44°41′N 9°21′E
Altitudine,725 m s.l.m.
Superficie,"30,82 km²"
Abitanti,109[1] (30-11-2025)
Densità,"3,54 ab./km²"
Frazioni,"Bastardina, Cà d'Abrà, Carisasca, Cariseto, Casale, Castello, La Serra, Lisore, Madonna, Oneto, Ponte Organasco, Rovereto, Selva, Zermogliana"
Comuni confinanti,"Brallo di Pregola (PV), Corte Brugnatella, Ferriere, Ottone, Zerba"
Altre informazioni,Altre informazioni
Cod. postale,29020
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033015
Cod. catastale,C513
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 385 GG[3]"
Nome abitanti,cerignalesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Cerignale,Cerignale
Cerignale – MappaPosizione del comune di Cerignale nella provincia di Piacenza,Cerignale – MappaPosizione del comune di Cerignale nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
