Fiorenzuola d'Arda comune,Fiorenzuola d'Arda comune.1
,
Fiorenzuola d'Arda – VedutaCollegiata di San Fiorenzo,Fiorenzuola d'Arda – VedutaCollegiata di San Fiorenzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Romeo Gandolfi (centro-destra) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,44°56′N 9°54′E
Altitudine,80 m s.l.m.
Superficie,"59,77 km²"
Abitanti,15 049[1] (30-11-2025)
Densità,"251,78 ab./km²"
Frazioni,"Baselicaduce, San Protaso"
Comuni confinanti,"Alseno, Besenzone, Cadeo, Carpaneto Piacentino, Castell'Arquato, Cortemaggiore"
Altre informazioni,Altre informazioni
Cod. postale,29017
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033021
Cod. catastale,D611
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 559 GG[3]"
Nome abitanti,fiorenzuolani
Patrono,San Fiorenzo di Tours
Giorno festivo,17 ottobre
Cartografia,Cartografia
Fiorenzuola d'Arda,Fiorenzuola d'Arda
Fiorenzuola d'Arda – MappaPosizione del comune di Fiorenzuola d'Arda nella provincia di Piacenza,Fiorenzuola d'Arda – MappaPosizione del comune di Fiorenzuola d'Arda nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
