San Giorgio Piacentino comune,San Giorgio Piacentino comune.1
,
San Giorgio Piacentino – VedutaPiazza Marconi,San Giorgio Piacentino – VedutaPiazza Marconi
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Donatella Alberoni (lista civica di centro-destra Alberoni sindaco) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°57′N 9°44′E
Altitudine,103 m s.l.m.
Superficie,"49,19 km²"
Abitanti,5 582[1] (30-11-2025)
Densità,"113,48 ab./km²"
Frazioni,"Centovera, Corneliano, Godi, Rizzolo, Ronco, San Damiano, Tollara, Viustino[2]"
Comuni confinanti,"Carpaneto Piacentino, Gropparello, Podenzano, Ponte dell'Olio, Pontenure, Vigolzone"
Altre informazioni,Altre informazioni
Cod. postale,29019
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033040
Cod. catastale,H887
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 668 GG[4]"
Nome abitanti,sangiorgini
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
San Giorgio Piacentino,San Giorgio Piacentino
San Giorgio Piacentino – MappaPosizione del comune di San Giorgio Piacentino nella provincia di Piacenza,San Giorgio Piacentino – MappaPosizione del comune di San Giorgio Piacentino nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
