Monticelli d'Ongina comune,Monticelli d'Ongina comune.1
,
Monticelli d'Ongina – VedutaCastello,Monticelli d'Ongina – VedutaCastello
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Gimmi Distante (lista civica di centro-destra Cambiamo Monticelli) dall'11-6-2017
Territorio,Territorio
Coordinate,45°05′N 9°56′E
Altitudine,40 m s.l.m.
Superficie,"46,33 km²"
Abitanti,5 209[1] (30-11-2025)
Densità,"112,43 ab./km²"
Frazioni,"Borgonovo, Fogarole, Olza, San Nazzaro, San Pietro in Corte[2]"
Comuni confinanti,"Caorso, Castelnuovo Bocca d'Adda (LO), Castelvetro Piacentino, Cremona (CR), Crotta d'Adda (CR), San Pietro in Cerro, Spinadesco (CR), Villanova sull'Arda"
Altre informazioni,Altre informazioni
Cod. postale,29010
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033027
Cod. catastale,F671
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 535 GG[4]"
Nome abitanti,monticellesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Monticelli d'Ongina,Monticelli d'Ongina
Monticelli d'Ongina – MappaPosizione del comune di Monticelli d'Ongina nella provincia di Piacenza,Monticelli d'Ongina – MappaPosizione del comune di Monticelli d'Ongina nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
