Cortemaggiore comune,Cortemaggiore comune.1
,
Cortemaggiore – Veduta,Cortemaggiore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Luigi Merli (LSP-FdI-Centro Magiostrino) dal 4-10-2021
Territorio,Territorio
Coordinate,45°00′N 9°56′E
Altitudine,48 m s.l.m.
Superficie,"36,47 km²"
Abitanti,4 756[1] (30-11-2025)
Densità,"130,41 ab./km²"
Frazioni,"Chiavenna Landi, San Martino in Olza"
Comuni confinanti,"Besenzone, Cadeo, Caorso, Fiorenzuola d'Arda, Pontenure, San Pietro in Cerro, Villanova sull'Arda"
Altre informazioni,Altre informazioni
Cod. postale,29016
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033018
Cod. catastale,D061
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 652 GG[3]"
Nome abitanti,cortemaggioresi o magiostrini (aggettivo di uso locale)
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Cortemaggiore,Cortemaggiore
Cortemaggiore – MappaPosizione del comune di Cortemaggiore nella provincia di Piacenza,Cortemaggiore – MappaPosizione del comune di Cortemaggiore nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
