Provincia di Piacenza provincia,Provincia di Piacenza provincia.1
,
Provincia di Piacenza – VedutaIl palazzo sede della provincia fotografato da Paolo Monti nel 1981,Provincia di Piacenza – VedutaIl palazzo sede della provincia fotografato da Paolo Monti nel 1981
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Amministrazione,Amministrazione
Capoluogo,Piacenza
Presidente,Monica Patelli (centro-sinistra) dal 25-9-2022
Data di istituzione,1859
Territorio,Territorio
Coordinate del capoluogo,45°03′N 9°42′E
Superficie,"2 585,86 km²"
Abitanti,287 635[1] (31-10-2025)
Densità,"111,23 ab./km²"
Comuni,46 comuni
Province confinanti,"Parma, Pavia, Cremona, Lodi, Genova, Alessandria"
Altre informazioni,Altre informazioni
Cod. postale,"29121-29122 Piacenza, 29010-29029 Provincia"
Prefisso,0523
Fuso orario,UTC+1
ISO 3166-2,IT-PC
Codice ISTAT,033
Targa,PC
Cartografia,Cartografia
Provincia di Piacenza – Localizzazione,Provincia di Piacenza – Localizzazione
Provincia di Piacenza – Mappa,Provincia di Piacenza – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
