Vernasca comune,Vernasca comune.1
,
Vernasca – VedutaPanorama sul borgo dall'antica pieve di San Colombano,Vernasca – VedutaPanorama sul borgo dall'antica pieve di San Colombano
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Gian Luigi Molinari (lista civica di centro-sinistra Vernasca futura) dal 10-6-2024
Territorio,Territorio
Coordinate,44°48′N 9°50′E
Altitudine,457 m s.l.m.
Superficie,"72,57 km²"
Abitanti,2 049[1] (30-11-2025)
Densità,"28,23 ab./km²"
Frazioni,"Bacedasco Basso, Borla, Castelletto, Mignano, Settesorelle, Trinità, Vezzolacca, Vigoleno"
Comuni confinanti,"Alseno, Bore (PR), Castell'Arquato, Lugagnano Val d'Arda, Morfasso, Pellegrino Parmense (PR), Salsomaggiore Terme (PR)"
Altre informazioni,Altre informazioni
Cod. postale,29010
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033044
Cod. catastale,L772
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 979 GG[3]"
Nome abitanti,vernaschini
Patrono,san Colombano
Cartografia,Cartografia
Vernasca,Vernasca
Vernasca – MappaPosizione del comune di Vernasca nella provincia di Piacenza,Vernasca – MappaPosizione del comune di Vernasca nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
