Podenzano comune,Podenzano comune.1
,
Podenzano – VedutaLa pieve di San Germano e San Giovanni Bosco,Podenzano – VedutaLa pieve di San Germano e San Giovanni Bosco
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,"Riccardo Sparzagni (Lega, Fratelli d'Italia, Forza Italia - PPE e lista civica Uniti per Podenzano) dal 9-6-2024"
Territorio,Territorio
Coordinate,44°57′N 9°41′E
Altitudine,118 m s.l.m.
Superficie,"44,34 km²"
Abitanti,9 054[1] (30-11-2025)
Densità,"204,19 ab./km²"
Frazioni,"Albone, Altoé, Casoni, Case Gatti, Due Case, Gariga, La Crocetta, Maiano, San Polo, Turro, Verano"
Comuni confinanti,"Gossolengo, Piacenza, Pontenure, Rivergaro, San Giorgio Piacentino, Vigolzone"
Altre informazioni,Altre informazioni
Cod. postale,29027
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033035
Cod. catastale,G747
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 687 GG[3]"
Nome abitanti,podenzanesi
Patrono,san Giovanni Bosco
Giorno festivo,31 gennaio
Cartografia,Cartografia
Podenzano,Podenzano
Podenzano – MappaPosizione del comune di Podenzano nella provincia di Piacenza,Podenzano – MappaPosizione del comune di Podenzano nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
