Crespadoro comune,Crespadoro comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Elisa Maria Ferrari (lista civica Crespadoro unita) dal 4-10-2021
Territorio,Territorio
Coordinate,45°37′09″N 11°13′34″E
Altitudine,363 m s.l.m.
Superficie,"30,2 km²"
Abitanti,1 247[1] (30-11-2025)
Densità,"41,29 ab./km²"
Frazioni,"Campodalbero, Durlo, Marana"
Comuni confinanti,"Ala (TN), Altissimo, Recoaro Terme, Selva di Progno (VR), Valdagno, Vestenanova (VR)"
Altre informazioni,Altre informazioni
Cod. postale,36070
Prefisso,0444
Fuso orario,UTC+1
Codice ISTAT,024037
Cod. catastale,D156
Targa,VI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 836 GG[3]"
Nome abitanti,crespadoresi
Patrono,sant'Andrea Apostolo
Cartografia,Cartografia
Crespadoro,Crespadoro
Crespadoro – MappaPosizione del comune di Crespadoro all'interno della provincia di Vicenza,Crespadoro – MappaPosizione del comune di Crespadoro all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
