San Pietro Mussolino comune,San Pietro Mussolino comune.1
,
San Pietro Mussolino – Veduta,San Pietro Mussolino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Gabriele Tasso (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°35′N 11°15′E
Altitudine,270 m s.l.m.
Superficie,"4,11 km²"
Abitanti,1 495[1] (30-11-2025)
Densità,"363,75 ab./km²"
Frazioni,"Mussolino, San Pietro Vecchio, Cappello, Castello"
Comuni confinanti,"Altissimo, Chiampo, Nogarole Vicentino, Vestenanova (VR)"
Altre informazioni,Altre informazioni
Cod. postale,36070
Prefisso,0444
Fuso orario,UTC+1
Codice ISTAT,024094
Cod. catastale,I117
Targa,VI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 683 GG[3]"
Nome abitanti,sanpietresi
Patrono,santi Pietro e Paolo
Cartografia,Cartografia
San Pietro Mussolino,San Pietro Mussolino
San Pietro Mussolino – MappaPosizione del comune di San Pietro Mussolino all'interno della provincia di Vicenza,San Pietro Mussolino – MappaPosizione del comune di San Pietro Mussolino all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
