Lusiana Conco comune,Lusiana Conco comune.1
,
"Lusiana Conco – VedutaPanorama del territorio comunale, con Lusiana (a sinistra) e Conco (a destra) tra le montagne delle Prealpi vicentine.","Lusiana Conco – VedutaPanorama del territorio comunale, con Lusiana (a sinistra) e Conco (a destra) tra le montagne delle Prealpi vicentine."
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Capoluogo,Conco
Sindaco,Antonella Corradin (lista civica) dal 27-5-2019
Data di istituzione,20 febbraio 2019
Territorio,Territorio
Coordinate del capoluogo,45°48′03.24″N 11°36′29.16″E
Altitudine,830 m s.l.m.
Superficie,"61,19 km²"
Abitanti,4 564[1] (30-11-2025)
Densità,"74,59 ab./km²"
Frazioni,"Fontanelle, Laverda, Rubbio, Santa Caterina, Valle"
Comuni confinanti,"Asiago, Bassano del Grappa, Lugo di Vicenza, Marostica, Salcedo, Valbrenta"
Altre informazioni,Altre informazioni
Cod. postale,36046
Prefisso,0424
Fuso orario,UTC+1
Codice ISTAT,024127
Cod. catastale,M427
Targa,VI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 588 GG[3]"
Nome abitanti,"lusianesi, conchesi"
Cartografia,Cartografia
Conco,Conco
Lusiana Conco – MappaPosizione del comune di Lusiana-Conco nella provincia di Vicenza,Lusiana Conco – MappaPosizione del comune di Lusiana-Conco nella provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
