Pojana Maggiore comune,Pojana Maggiore comune.1
,
Pojana Maggiore – Veduta,Pojana Maggiore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Paola Fortuna (lista civica: Crescere con Voi) dal 26-5-2014 (3º mandato dal 10-06-2024)
Territorio,Territorio
Coordinate,45°17′25.4″N 11°30′09″E
Altitudine,14 m s.l.m.
Superficie,"28,62 km²"
Abitanti,4 248[1] (30-11-2025)
Densità,"148,43 ab./km²"
Frazioni,"Cagnano, Cicogna[2]"
Comuni confinanti,"Asigliano Veneto, Borgo Veneto (PD), Cologna Veneta (VR), Montagnana (PD), Noventa Vicentina, Orgiano, Roveredo di Guà (VR), Sossano"
Altre informazioni,Altre informazioni
Cod. postale,36026
Prefisso,0444
Fuso orario,UTC+1
Codice ISTAT,024079
Cod. catastale,G776
Targa,VI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 451 GG[4]"
Nome abitanti,poianesi
Patrono,Madonna di Monte Berico
Giorno festivo,8 settembre
Cartografia,Cartografia
Pojana Maggiore,Pojana Maggiore
Pojana Maggiore – MappaPosizione del comune di Pojana Maggiore all'interno della provincia di Vicenza,Pojana Maggiore – MappaPosizione del comune di Pojana Maggiore all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
