Santorso comune,Santorso comune.1
,
Santorso – VedutaLa chiesa parrocchiale di Santorso,Santorso – VedutaLa chiesa parrocchiale di Santorso
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Giorgio Baù (Lista civica di centro-sinistra Il Paese che vogliamo) dal 10-6-2024
Territorio,Territorio
Coordinate,45°44′N 11°23′E
Altitudine,240 m s.l.m.
Superficie,"13,21 km²"
Abitanti,5 637[1] (30-11-2025)
Densità,"426,72 ab./km²"
Comuni confinanti,"Piovene Rocchette, Schio, Velo d'Astico, Zanè"
Altre informazioni,Altre informazioni
Cod. postale,36014
Prefisso,0445
Fuso orario,UTC+1
Codice ISTAT,024095
Cod. catastale,I353
Targa,VI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 693 GG[3]"
Nome abitanti,orsiani
Patrono,sant'Orso
Giorno festivo,3 maggio
Cartografia,Cartografia
Santorso,Santorso
Santorso – MappaPosizione del comune di Santorso all'interno della provincia di Vicenza,Santorso – MappaPosizione del comune di Santorso all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
