Campiglia dei Berici comune,Campiglia dei Berici comune.1
,
Campiglia dei Berici – VedutaVilla Repeta,Campiglia dei Berici – VedutaVilla Repeta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Massimo Zulian (lista civica di centro-sinistra Nuova Campiglia) dal 26-5-2014
Territorio,Territorio
Coordinate,45°20′N 11°32′E
Altitudine,16 m s.l.m.
Superficie,"11,04 km²"
Abitanti,1 671[1] (30-11-2025)
Densità,"151,36 ab./km²"
Comuni confinanti,"Agugliaro, Albettone, Noventa Vicentina, Sossano"
Altre informazioni,Altre informazioni
Cod. postale,36020
Prefisso,0444
Fuso orario,UTC+1
Codice ISTAT,024022
Cod. catastale,B511
Targa,VI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 264 GG[3]"
Nome abitanti,campigliesi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Campiglia dei Berici,Campiglia dei Berici
Campiglia dei Berici – MappaPosizione del comune di Campiglia dei Berici all'interno della provincia di Vicenza,Campiglia dei Berici – MappaPosizione del comune di Campiglia dei Berici all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
