Enego comune,Enego comune.1
,
Enego – VedutaDuomo di Santa Giustina,Enego – VedutaDuomo di Santa Giustina
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Marco Frison (lista civica Progetto Enego) dal 15-5-2023
Territorio,Territorio
Coordinate,45°56′N 11°43′E
Altitudine,800 m s.l.m.
Superficie,"52,61 km²"
Abitanti,1 500[1] (30-11-2025)
Densità,"28,51 ab./km²"
Frazioni,"Coldarco, Fosse, Pianello, Stoner, Godeluna, Valgoda, Lessi, Frizzon, Valdicina, Dori, Cornetta[tutte frazioni o località]"
Comuni confinanti,"Asiago, Foza, Gallio, Grigno (TN), Valbrenta"
Altre informazioni,Altre informazioni
Cod. postale,36052
Prefisso,0424
Fuso orario,UTC+1
Codice ISTAT,024039
Cod. catastale,D407
Targa,VI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 541 GG[3]"
Nome abitanti,eneghesi
Patrono,santa Giustina
Giorno festivo,7 ottobre
Cartografia,Cartografia
Enego,Enego
Enego – MappaPosizione del comune di Enego all'interno della provincia di Vicenza,Enego – MappaPosizione del comune di Enego all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
