Vicenza comune,Vicenza comune.1
,
Vicenza – VedutaPanorama del capoluogo vicentino dal Monte Berico.,Vicenza – VedutaPanorama del capoluogo vicentino dal Monte Berico.
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Giacomo Possamai (PD) dal 29-5-2023
Territorio,Territorio
Coordinate,45°33′N 11°33′E
Altitudine,39 m s.l.m.
Superficie,"80,57 km²"
Abitanti,110 718[1] (30-11-2025)
Densità,"1 374,18 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Altavilla Vicentina, Arcugnano, Bolzano Vicentino, Caldogno, Costabissara, Creazzo, Dueville, Longare, Monteviale, Monticello Conte Otto, Quinto Vicentino, Torri di Quartesolo"
Altre informazioni,Altre informazioni
Cod. postale,36100
Prefisso,0444
Fuso orario,UTC+1
Codice ISTAT,024116
Cod. catastale,L840
Targa,VI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 371 GG[3]"
Nome abitanti,vicentini o berici
Patrono,"Madonna di Monte Berico (patrono principale), san Vincenzo di Saragozza (patrono secondario)"
Giorno festivo,8 settembre
Soprannome,La città del Palladio
Cartografia,Cartografia
Vicenza,Vicenza
Vicenza – MappaPosizione del comune di Vicenza all'interno dell'omonima provincia,Vicenza – MappaPosizione del comune di Vicenza all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
