Arzignano comune,Arzignano comune.1
,
Arzignano – VedutaPanorama dalla chiesa di San Michele di Brendola,Arzignano – VedutaPanorama dalla chiesa di San Michele di Brendola
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Teresa Inglese (Commissario prefettizio) dal 19-12-2025
Territorio,Territorio
Coordinate,45°31′13″N 11°20′23″E
Altitudine,118 m s.l.m.
Superficie,"34,19[1] km²"
Abitanti,25 878[2] (30-11-2025)
Densità,"756,89 ab./km²"
Frazioni,"Castello, Costo, Pugnello, Restena, San Bortolo, San Zenone, Tezze[3]"
Comuni confinanti,"Chiampo, Montecchio Maggiore, Montorso Vicentino, Nogarole Vicentino, Roncà (VR), Trissino"
Altre informazioni,Altre informazioni
Cod. postale,36071
Prefisso,0444
Fuso orario,UTC+1
Codice ISTAT,024008
Cod. catastale,A459
Targa,VI
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 432 GG[5]"
Nome abitanti,arzignanesi
Patrono,Ognissanti
Giorno festivo,1º novembre
Cartografia,Cartografia
Arzignano,Arzignano
Arzignano – MappaPosizione del comune di Arzignano all'interno della provincia di Vicenza,Arzignano – MappaPosizione del comune di Arzignano all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
