Cassola comune,Cassola comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Giannantonio Stangherlin (coaliz. trasversale) dal 10-6-2024
Territorio,Territorio
Coordinate,45°44′N 11°47′E
Altitudine,92 m s.l.m.
Superficie,"12,74 km²"
Abitanti,15 420[1] (30-11-2025)
Densità,"1 210,36 ab./km²"
Frazioni,"San Giuseppe, San Zeno"
Comuni confinanti,"Bassano del Grappa, Loria (TV), Mussolente, Romano d'Ezzelino, Rosà, Rossano Veneto"
Altre informazioni,Altre informazioni
Cod. postale,36022
Prefisso,0424
Fuso orario,UTC+1
Codice ISTAT,024026
Cod. catastale,C037
Targa,VI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 412 GG[3]"
Nome abitanti,cassolesi
Patrono,Cassola - san Marco San Giuseppe - san Giuseppe
Giorno festivo,"25 aprile (san Marco), 19 marzo (san Giuseppe)"
Cartografia,Cartografia
Cassola,Cassola
Cassola – MappaPosizione del comune di Cassola all'interno della provincia di Vicenza,Cassola – MappaPosizione del comune di Cassola all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
