Mussolente comune,Mussolente comune.1
,
Mussolente – Veduta,Mussolente – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Ellena Bontorin (lista civica di centro-sinistra) dal 9-6-2024
Territorio,Territorio
Coordinate,45°47′N 11°49′E
Altitudine,129[1] m s.l.m.
Superficie,"15,43 km²"
Abitanti,7 528[2] (30-11-2025)
Densità,"487,88 ab./km²"
Frazioni,Casoni[3]
Comuni confinanti,"Borso del Grappa (TV), Cassola, Loria (TV), Romano d'Ezzelino, San Zenone degli Ezzelini (TV)"
Altre informazioni,Altre informazioni
Cod. postale,36065
Prefisso,0424
Fuso orario,UTC+1
Codice ISTAT,024070
Cod. catastale,F829
Targa,VI
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 459 GG[5]"
Nome abitanti,misquilesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Mussolente,Mussolente
Mussolente – MappaPosizione del comune di Mussolente all'interno della provincia di Vicenza,Mussolente – MappaPosizione del comune di Mussolente all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
