Sandrigo comune,Sandrigo comune.1
,
Sandrigo – VedutaScorci del centro di Sandrigo,Sandrigo – VedutaScorci del centro di Sandrigo
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Marica Rigon (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,45°40′N 11°36′E
Altitudine,64 m s.l.m.
Superficie,"27,99 km²"
Abitanti,8 233[1] (30-11-2025)
Densità,"294,14 ab./km²"
Frazioni,"Ancignano, Lupia[2]"
Comuni confinanti,"Bolzano Vicentino, Breganze, Bressanvido, Dueville, Montecchio Precalcino, Monticello Conte Otto, Pozzoleone, Schiavon"
Altre informazioni,Altre informazioni
Cod. postale,36066
Prefisso,0444
Fuso orario,UTC+1
Codice ISTAT,024091
Cod. catastale,H829
Targa,VI
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 343 GG[4]"
Nome abitanti,sandricensi
Patrono,"santa Maria Assunta, santi Filippo e Giacomo"
Giorno festivo,"15 agosto, 3 maggio"
Cartografia,Cartografia
Sandrigo,Sandrigo
Sandrigo – MappaPosizione del comune di Sandrigo all'interno della provincia di Vicenza,Sandrigo – MappaPosizione del comune di Sandrigo all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
