Torri di Quartesolo comune,Torri di Quartesolo comune.1
,
"Torri di Quartesolo – VedutaPonte sul fiume Tesina, attribuito ad Andrea Palladio","Torri di Quartesolo – VedutaPonte sul fiume Tesina, attribuito ad Andrea Palladio"
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Gianluca Ghirigatto (lista civica di centro-sinistra Uniti per Torri) dal 10-6-2024
Territorio,Territorio
Coordinate,45°31′N 11°37′E
Altitudine,30 m s.l.m.
Superficie,"18,67 km²"
Abitanti,11 823[1] (30-11-2025)
Densità,"633,26 ab./km²"
Frazioni,"Lerino, Marola"
Comuni confinanti,"Gazzo (PD), Grumolo delle Abbadesse, Longare, Quinto Vicentino, Vicenza"
Altre informazioni,Altre informazioni
Cod. postale,36040
Prefisso,0444
Fuso orario,UTC+1
Codice ISTAT,024108
Cod. catastale,L297
Targa,VI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 357 GG[3]"
Nome abitanti,quartesolani
Patrono,santi Gervasio e Protasio
Giorno festivo,19 giugno
Cartografia,Cartografia
Torri di Quartesolo,Torri di Quartesolo
Torri di Quartesolo – MappaPosizione del comune di Torri di Quartesolo all'interno della provincia di Vicenza,Torri di Quartesolo – MappaPosizione del comune di Torri di Quartesolo all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
