Lonigo comune,Lonigo comune.1
,
Lonigo – VedutaPiazza Duomo,Lonigo – VedutaPiazza Duomo
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Pier Luigi Giacomello (liste civiche - centro-sinistra) dal 22-9-2020
Territorio,Territorio
Coordinate,45°23′N 11°23′E
Altitudine,31 m s.l.m.
Superficie,"49,42 km²"
Abitanti,16 050[1] (30-11-2025)
Densità,"324,77 ab./km²"
Frazioni,"Almisano, Bagnolo, Madonna, Monticello Località: Lobbia[2]"
Comuni confinanti,"Alonte, Arcole (VR), Cologna Veneta (VR), Gambellara, Montebello Vicentino, Orgiano, San Bonifacio (VR), Sarego, Val Liona, Zimella (VR)"
Altre informazioni,Altre informazioni
Cod. postale,36045
Prefisso,0444
Fuso orario,UTC+1
Codice ISTAT,024052
Cod. catastale,E682
Targa,VI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 444 GG[4]"
Nome abitanti,leoniceni
Patrono,santi Quirico e Giulitta
Giorno festivo,25 marzo
Cartografia,Cartografia
Lonigo,Lonigo
Lonigo – MappaPosizione del comune di Lonigo all'interno della provincia di Vicenza,Lonigo – MappaPosizione del comune di Lonigo all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
