Colceresa comune,Colceresa comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Capoluogo,Mason Vicentino
Sindaco,Enrico Costa (lista civica) dal 27-5-2019
Data di istituzione,20-2-2019
Territorio,Territorio
Coordinate del capoluogo,45°43′10″N 11°36′28″E
Superficie,"19,40 km²"
Abitanti,5 947[1] (30-11-2025)
Densità,"306,55 ab./km²"
Frazioni,"Mason Vicentino, Molvena, Mure, Villa, Villaraspa[2]"
Comuni confinanti,"Breganze, Fara Vicentino, Marostica, Pianezze, Salcedo, Schiavon"
Altre informazioni,Altre informazioni
Cod. postale,36064
Prefisso,0424
Fuso orario,UTC+1
Codice ISTAT,024126
Cod. catastale,M426
Cl. sismica,zona 2 (sismicità media)[3]
Nome abitanti,Colceresini
Patrono,"Sant'Andrea, San Zeno, Santo Stefano, San Cristoforo e San Francesco d'Assisi"
Cartografia,Cartografia
Mason Vicentino,Mason Vicentino
Colceresa – MappaPosizione del comune di Colceresa all'interno della provincia di Vicenza,Colceresa – MappaPosizione del comune di Colceresa all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
