Torrebelvicino comune,Torrebelvicino comune.1
,
Torrebelvicino – VedutaIl campanile della parrocchiale,Torrebelvicino – VedutaIl campanile della parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Emanuele Boscoscuro (centro-destra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°43′N 11°19′E
Altitudine,260 m s.l.m.
Superficie,"20,74 km²"
Abitanti,5 876[1] (30-11-2025)
Densità,"283,32 ab./km²"
Frazioni,"Enna, Pievebelvicino"
Comuni confinanti,"Recoaro Terme, Schio, Valdagno, Valli del Pasubio"
Altre informazioni,Altre informazioni
Cod. postale,36036
Prefisso,0445
Fuso orario,UTC+1
Codice ISTAT,024107
Cod. catastale,L248
Targa,VI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 666 GG[3]"
Nome abitanti,turritani
Patrono,san Lorenzo
Cartografia,Cartografia
Torrebelvicino,Torrebelvicino
Torrebelvicino – MappaPosizione del comune di Torrebelvicino all'interno della provincia di Vicenza,Torrebelvicino – MappaPosizione del comune di Torrebelvicino all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
