Tezze sul Brenta comune,Tezze sul Brenta comune.1
,
Tezze sul Brenta – VedutaVeduta,Tezze sul Brenta – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Luigi Pellanda (LN) dal 26-05-2019
Territorio,Territorio
Coordinate,45°41′10.24″N 11°42′15.06″E
Altitudine,69 m s.l.m.
Superficie,"17,93 km²"
Abitanti,13 006[1] (30-11-2025)
Densità,"725,38 ab./km²"
Frazioni,"Belvedere, Campagnari-Laghi, Cusinati, Granella, Stroppari [2]"
Comuni confinanti,"Cartigliano, Cittadella (PD), Pozzoleone, Rosà, Rossano Veneto"
Altre informazioni,Altre informazioni
Cod. postale,36056
Prefisso,0424
Fuso orario,UTC+1
Codice ISTAT,024104
Cod. catastale,L156
Targa,VI
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 351 GG[4]"
Nome abitanti,Tedaroti
Patrono,san Rocco
Cartografia,Cartografia
Tezze sul Brenta,Tezze sul Brenta
Tezze sul Brenta – MappaPosizione del comune di Tezze sul Brenta all'interno della provincia di Vicenza,Tezze sul Brenta – MappaPosizione del comune di Tezze sul Brenta all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
