Marano Vicentino comune,Marano Vicentino comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Marco Guzzonato (centro-sinistra) dal 12-6-2017
Territorio,Territorio
Coordinate,45°42′N 11°26′E
Altitudine,136 m s.l.m.
Superficie,"12,73 km²"
Abitanti,9 197[1] (30-11-2025)
Densità,"722,47 ab./km²"
Comuni confinanti,"Malo, San Vito di Leguzzano, Schio, Thiene, Zanè"
Altre informazioni,Altre informazioni
Cod. postale,36035
Prefisso,0445
Fuso orario,UTC+1
Codice ISTAT,024056
Cod. catastale,E912
Targa,VI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 411 GG[3]"
Nome abitanti,maranesi
Patrono,Annunciazione Maria Vergine
Giorno festivo,lunedì successivo al 16 luglio
Cartografia,Cartografia
Marano Vicentino,Marano Vicentino
Marano Vicentino – MappaPosizione del comune di Marano Vicentino all'interno della provincia di Vicenza,Marano Vicentino – MappaPosizione del comune di Marano Vicentino all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
