Lastebasse comune,Lastebasse comune.1
,
Lastebasse – Veduta,Lastebasse – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Emilio Leoni (lista civica) dal 2014
Territorio,Territorio
Coordinate,45°54′56″N 11°16′17″E
Altitudine,585 m s.l.m.
Superficie,"18,8 km²"
Abitanti,174[1] (30-11-2025)
Densità,"9,26 ab./km²"
Frazioni,Posta
Comuni confinanti,"Arsiero, Folgaria (TN), Laghi, Lavarone (TN), Pedemonte, Tonezza del Cimone, Valdastico"
Altre informazioni,Altre informazioni
Cod. postale,36040
Prefisso,0445
Fuso orario,UTC+1
Codice ISTAT,024050
Cod. catastale,E465
Targa,VI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 214 GG[3]"
Nome abitanti,lastaroli[4]
Cartografia,Cartografia
Lastebasse,Lastebasse
Lastebasse – MappaPosizione del comune di Lastebasse all'interno della provincia di Vicenza,Lastebasse – MappaPosizione del comune di Lastebasse all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
