Brogliano comune,Brogliano comune.1
,
"Brogliano – VedutaChiesa parrocchiale di San Martino di Brogliano (sopra), il centro del paese (sotto).","Brogliano – VedutaChiesa parrocchiale di San Martino di Brogliano (sopra), il centro del paese (sotto)."
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Dario Tovo (centro-destra) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°35′N 11°22′E
Altitudine,172 m s.l.m.
Superficie,"12,16 km²"
Abitanti,4 015[1] (30-11-2025)
Densità,"330,18 ab./km²"
Frazioni,Quargnenta[2]
Comuni confinanti,"Altissimo, Castelgomberto, Cornedo Vicentino, Nogarole Vicentino, Trissino, Valdagno"
Altre informazioni,Altre informazioni
Cod. postale,36070
Prefisso,0445
Fuso orario,UTC+1
Codice ISTAT,024017
Cod. catastale,B196
Targa,VI
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 521 GG[4]"
Nome abitanti,broglianesi
Giorno festivo,15 agosto e 11 novembre
Cartografia,Cartografia
Brogliano,Brogliano
Brogliano – MappaPosizione del comune di Brogliano all'interno della provincia di Vicenza,Brogliano – MappaPosizione del comune di Brogliano all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
