Fara Vicentino comune,Fara Vicentino comune.1
,
Fara Vicentino – Veduta,Fara Vicentino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Maria Teresa Sperotto (lista civica di centro-destra Progetto Comune) dal 27-7-2014
Territorio,Territorio
Coordinate,45°44′N 11°33′E
Altitudine,202 m s.l.m.
Superficie,"15,18 km²"
Abitanti,3 714[1] (30-11-2025)
Densità,"244,66 ab./km²"
Frazioni,San Giorgio di Perlena
Comuni confinanti,"Breganze, Colceresa, Lugo di Vicenza, Salcedo, Sarcedo, Zugliano"
Altre informazioni,Altre informazioni
Cod. postale,36030
Prefisso,0445
Fuso orario,UTC+1
Codice ISTAT,024040
Cod. catastale,D496
Targa,VI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 625 GG[3]"
Nome abitanti,faresi[4]
Patrono,san Bartolomeo Apostolo
Giorno festivo,24 agosto
Cartografia,Cartografia
Fara Vicentino,Fara Vicentino
Fara Vicentino – MappaPosizione del comune di Fara Vicentino all'interno della provincia di Vicenza,Fara Vicentino – MappaPosizione del comune di Fara Vicentino all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
