Zanè comune,Zanè comune.1
,
Zanè – VedutaIl campanile,Zanè – VedutaIl campanile
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Alberto Busin (lista civica Impegno per Zanè) dal 10-6-2024
Territorio,Territorio
Coordinate,45°43′N 11°28′E
Altitudine,183 m s.l.m.
Superficie,"7,65 km²"
Abitanti,6 495[1] (30-11-2025)
Densità,"849,02 ab./km²"
Comuni confinanti,"Carrè, Marano Vicentino, Piovene Rocchette, Santorso, Schio, Thiene, Zugliano"
Altre informazioni,Altre informazioni
Cod. postale,36010
Prefisso,0445
Fuso orario,UTC+1
Codice ISTAT,024119
Cod. catastale,M145
Targa,VI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 488 GG[3]"
Nome abitanti,zanadiensi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Zanè,Zanè
Zanè – MappaPosizione del comune di Zanè all'interno della provincia di Vicenza,Zanè – MappaPosizione del comune di Zanè all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
