Laghi comune,Laghi comune.1
,
Laghi – VedutaVista dell'abitato di Laghi,Laghi – VedutaVista dell'abitato di Laghi
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Marco Lorenzato (lista civica Insieme per Laghi) dal 4-10-2021
Territorio,Territorio
Coordinate,45°49′25″N 11°16′23″E
Altitudine,570 m s.l.m.
Superficie,"22,24 km²"
Abitanti,135[1] (30-11-2025)
Densità,"6,07 ab./km²"
Comuni confinanti,"Arsiero, Folgaria (TN), Lastebasse, Posina, Terragnolo (TN)"
Altre informazioni,Altre informazioni
Cod. postale,36010
Prefisso,0445
Fuso orario,UTC+1
Codice ISTAT,024049
Cod. catastale,E403
Targa,VI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 173 GG[3]"
Nome abitanti,laghesi
Patrono,san Barnaba
Cartografia,Cartografia
Laghi,Laghi
Laghi – MappaPosizione del comune di Laghi all'interno della provincia di Vicenza,Laghi – MappaPosizione del comune di Laghi all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
