Lugo di Vicenza comune,Lugo di Vicenza comune.1
,
"Lugo di Vicenza – VedutaVilla Godi di Andrea Palladio, nella frazione di Lonedo","Lugo di Vicenza – VedutaVilla Godi di Andrea Palladio, nella frazione di Lonedo"
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Loris Dalla Costa (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,45°45′N 11°32′E
Altitudine,203 m s.l.m.
Superficie,"14,56 km²"
Abitanti,3 513[1] (30-11-2025)
Densità,"241,28 ab./km²"
Frazioni,"Boschetti, Cavallo Di Sotto, Cerchiarolla, Creari, Graziani, Lonedo, Lore, Mare, Molan, Mortisa, Rosa, Roveri, Santa Maria, Sarollo, Tripoli, Valdellette, Vesene e Volpente"
Comuni confinanti,"Asiago, Calvene, Carrè, Chiuppano, Fara Vicentino, Lusiana Conco, Salcedo, Zugliano"
Altre informazioni,Altre informazioni
Cod. postale,36030
Prefisso,0445
Fuso orario,UTC+1
Codice ISTAT,024053
Cod. catastale,E731
Targa,VI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 572 GG[3]"
Nome abitanti,lughesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Lugo di Vicenza,Lugo di Vicenza
Lugo di Vicenza – MappaPosizione del comune di Lugo di Vicenza all'interno della provincia di Vicenza,Lugo di Vicenza – MappaPosizione del comune di Lugo di Vicenza all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
