Caldogno comune,Caldogno comune.1
,
Caldogno – VedutaVilla Caldogno,Caldogno – VedutaVilla Caldogno
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Nicola Ferronato (lista civica Insieme per Caldogno) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°36′42.61″N 11°30′27.29″E
Altitudine,52 m s.l.m.
Superficie,"15,88 km²"
Abitanti,11 323[1] (30-11-2025)
Densità,"713,04 ab./km²"
Frazioni,"Cresole, Rettorgole"
Comuni confinanti,"Costabissara, Dueville, Isola Vicentina, Vicenza, Villaverla"
Altre informazioni,Altre informazioni
Cod. postale,36030
Prefisso,0444
Fuso orario,UTC+1
Codice ISTAT,024018
Cod. catastale,B403
Targa,VI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 395 GG[3]"
Nome abitanti,calidonensi o calidoniesi[4]
Patrono,san Bartolomeo
Giorno festivo,8 settembre
Cartografia,Cartografia
Caldogno,Caldogno
Caldogno – MappaPosizione del comune di Caldogno all'interno della provincia di Vicenza,Caldogno – MappaPosizione del comune di Caldogno all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
