Sossano comune,Sossano comune.1
,
Sossano – Veduta,Sossano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Enrico Grandis (Lega Nord - Liga Veneta) dal 26-5-2019 (2º mandato dal 10-06-2024)
Territorio,Territorio
Coordinate,45°22′N 11°31′E
Altitudine,15 m s.l.m.
Superficie,"20,9 km²"
Abitanti,4 144[1] (30-11-2025)
Densità,"198,28 ab./km²"
Frazioni,"Colloredo, Pilastro[2]"
Comuni confinanti,"Agugliaro, Albettone, Campiglia dei Berici, Noventa Vicentina, Orgiano, Pojana Maggiore, Val Liona, Villaga"
Altre informazioni,Altre informazioni
Cod. postale,36040
Prefisso,0444
Fuso orario,UTC+1
Codice ISTAT,024102
Cod. catastale,I867
Targa,VI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 424 GG[4]"
Nome abitanti,sossanesi
Patrono,san Teobaldo
Giorno festivo,1ª domenica di luglio
Cartografia,Cartografia
Sossano,Sossano
Sossano – MappaPosizione del comune di Sossano all'interno della provincia di Vicenza,Sossano – MappaPosizione del comune di Sossano all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
