Marostica comune,Marostica comune.1
,
Marostica – VedutaPiazza degli Scacchi,Marostica – VedutaPiazza degli Scacchi
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Matteo Mozzo (LSP) dall'11-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°44′44″N 11°39′19″E
Altitudine,103 m s.l.m.
Superficie,"36,53 km²"
Abitanti,14 136[1] (30-11-2025)
Densità,"386,97 ab./km²"
Frazioni,"Crosara, Marsan, Pradipaldo, San Luca, Valle San Floriano, Vallonara"
Comuni confinanti,"Bassano del Grappa, Colceresa, Lusiana Conco, Nove, Pianezze, Salcedo, Schiavon"
Altre informazioni,Altre informazioni
Cod. postale,36063
Prefisso,0424
Fuso orario,UTC+1
Codice ISTAT,024057
Cod. catastale,E970
Targa,VI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 432 GG[3]"
Nome abitanti,marosticensi
Patrono,san Simeone
Giorno festivo,ultima domenica di ottobre
Cartografia,Cartografia
Marostica,Marostica
Marostica – MappaPosizione del comune di Marostica all'interno della provincia di Vicenza,Marostica – MappaPosizione del comune di Marostica all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
