Bolzano Vicentino comune,Bolzano Vicentino comune.1
,
Bolzano Vicentino – VedutaChiesa di Santa Maria,Bolzano Vicentino – VedutaChiesa di Santa Maria
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Lorenzo Cracco (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,45°36′N 11°37′E
Altitudine,44 m s.l.m.
Superficie,"19,84 km²"
Abitanti,6 494[1] (30-11-2025)
Densità,"327,32 ab./km²"
Frazioni,"Lisiera Località: Crosara, Ospedaletto[2]"
Comuni confinanti,"Bressanvido, Monticello Conte Otto, Quinto Vicentino, San Pietro in Gu (PD), Sandrigo, Vicenza"
Altre informazioni,Altre informazioni
Cod. postale,36050
Prefisso,0444
Fuso orario,UTC+1
Codice ISTAT,024013
Cod. catastale,A954
Targa,VI
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 381 GG[4]"
Nome abitanti,bolzanesi vicentini
Patrono,Santa Maria
Giorno festivo,2 febbraio
Cartografia,Cartografia
Bolzano Vicentino,Bolzano Vicentino
Bolzano Vicentino – MappaPosizione del comune di Bolzano Vicentino all'interno della provincia di Vicenza,Bolzano Vicentino – MappaPosizione del comune di Bolzano Vicentino all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
