Castelgomberto comune,Castelgomberto comune.1
,
Castelgomberto – VedutaCastelgomberto visto da Brogliano,Castelgomberto – VedutaCastelgomberto visto da Brogliano
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Davide Dorantani (LSP) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°35′N 11°24′E
Altitudine,145 m s.l.m.
Superficie,"17,44 km²"
Abitanti,6 130[1] (30-11-2025)
Densità,"351,49 ab./km²"
Frazioni,Valle[2]
Comuni confinanti,"Brogliano, Cornedo Vicentino, Isola Vicentina, Malo, Montecchio Maggiore, Sovizzo, Trissino"
Altre informazioni,Altre informazioni
Cod. postale,36070
Prefisso,0445
Fuso orario,UTC+1
Codice ISTAT,024028
Cod. catastale,C119
Targa,VI
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 477 GG[4]"
Nome abitanti,castrobertensi
Patrono,santi Pietro e Paolo
Cartografia,Cartografia
Castelgomberto,Castelgomberto
Castelgomberto – MappaPosizione del comune di Castelgomberto all'interno della provincia di Vicenza,Castelgomberto – MappaPosizione del comune di Castelgomberto all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
