Arcugnano comune,Arcugnano comune.1
,
Arcugnano – Veduta,Arcugnano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Emanuele Cassaro (Commissario Prefettizio) dal 07-01-2026
Territorio,Territorio
Coordinate,45°30′01.51″N 11°32′07.22″E
Altitudine,60 m s.l.m.
Superficie,"41,57 km²"
Abitanti,7 620[1] (30-11-2025)
Densità,"183,31 ab./km²"
Frazioni,"Arcugnano, Fimon, Lapio, Perarolo, Pianezze, San Gottardo, Sant'Agostino, Torri (sede comunale), Villabalzana[2]"
Comuni confinanti,"Altavilla Vicentina, Barbarano Mossano, Brendola, Castegnero Nanto, Longare, Vicenza, Zovencedo"
Altre informazioni,Altre informazioni
Cod. postale,36057
Prefisso,0444
Fuso orario,UTC+1
Codice ISTAT,024006
Cod. catastale,A377
Targa,VI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 357 GG[4]"
Nome abitanti,arcugnanesi
Patrono,santa Giustina
Giorno festivo,seconda domenica di ottobre
Cartografia,Cartografia
Arcugnano,Arcugnano
Arcugnano – MappaPosizione del comune di Arcugnano all'interno della provincia di Vicenza,Arcugnano – MappaPosizione del comune di Arcugnano all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
