Sarego comune,Sarego comune.1
,
Sarego – VedutaBarchesse di Villa Trissino,Sarego – VedutaBarchesse di Villa Trissino
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Jessica Giacomello (centro-destra) dal 13-06-2022
Territorio,Territorio
Coordinate,45°25′N 11°24′E
Altitudine,42 m s.l.m.
Superficie,"23,92 km²"
Abitanti,6 865[1] (30-11-2025)
Densità,287 ab./km²
Frazioni,"Meledo, Monticello di Fara"
Comuni confinanti,"Brendola, Lonigo, Montebello Vicentino, Val Liona"
Altre informazioni,Altre informazioni
Cod. postale,36040
Prefisso,0444
Fuso orario,UTC+1
Codice ISTAT,024098
Cod. catastale,I430
Targa,VI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 462 GG[3]"
Nome abitanti,seraticensi
Cartografia,Cartografia
Sarego,Sarego
Sarego – MappaPosizione del comune di Sarego all'interno della provincia di Vicenza,Sarego – MappaPosizione del comune di Sarego all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
