Thiene comune,Thiene comune.1
,
Thiene – Veduta,Thiene – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Giampi Michelusi (liste civiche - PD) dal 27-6-2022
Territorio,Territorio
Coordinate,45°42′26″N 11°28′43″E
Altitudine,147 m s.l.m.
Superficie,"19,7 km²"
Abitanti,24 310[1] (30-11-2025)
Densità,"1 234,01 ab./km²"
Frazioni,"Lampertico, Rozzampia, Santo[2]"
Comuni confinanti,"Malo, Marano Vicentino, Sarcedo, Villaverla, Zanè, Zugliano"
Altre informazioni,Altre informazioni
Cod. postale,36016
Prefisso,0445
Fuso orario,UTC+1
Codice ISTAT,024105
Cod. catastale,L157
Targa,VI
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 429 GG[4]"
Nome abitanti,thienesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Thiene,Thiene
Thiene – MappaPosizione del comune di Thiene all'interno della provincia di Vicenza,Thiene – MappaPosizione del comune di Thiene all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
