Trissino comune,Trissino comune.1
,
Trissino – Veduta,Trissino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Davide Faccio (Lega) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°34′N 11°22′E
Altitudine,125 m s.l.m.
Superficie,"21,96 km²"
Abitanti,8 663[1] (30-11-2025)
Densità,"394,49 ab./km²"
Frazioni,"Lovara, San Benedetto, Selva[2] Località: Piana Cattiva, Masieri, Massignani, Scorloni, Casoni, Pianeta, Bastie e Contrà Nobile."
Comuni confinanti,"Arzignano, Brogliano, Castelgomberto, Montecchio Maggiore, Nogarole Vicentino"
Altre informazioni,Altre informazioni
Cod. postale,36070
Prefisso,0445
Fuso orario,UTC+1
Codice ISTAT,024110
Cod. catastale,L433
Targa,VI
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 444 GG[4]"
Nome abitanti,trissinesi
Patrono,sant'Andrea
Cartografia,Cartografia
Trissino,Trissino
Trissino – MappaPosizione del comune di Trissino all'interno della provincia di Vicenza,Trissino – MappaPosizione del comune di Trissino all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
