Bosa comune,Bosa comune.1
(IT) Bosa (SC) Bosa 'Osa,(IT) Bosa (SC) Bosa 'Osa
(dettagli),(dettagli)
Bosa – VedutaVista aerea di Bosa,Bosa – VedutaVista aerea di Bosa
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Alfonso Marras (lista civica) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,40°17′56.25″N 8°29′52.05″E
Altitudine,2[2] m s.l.m.
Superficie,"128,02[3] km²"
Abitanti,7 298[4] (30-11-2025)
Densità,"57,01 ab./km²"
Frazioni,Bosa Marina
Comuni confinanti,"Magomadas, Modolo, Montresta, Padria (SS), Pozzomaggiore (SS), Suni, Villanova Monteleone (SS)"
Altre informazioni,Altre informazioni
Lingue,"italiano, sardo[5]"
Cod. postale,09089
Prefisso,0785
Fuso orario,UTC+1
Codice ISTAT,095079
Cod. catastale,B068
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[6]
Cl. climatica,"zona B, 744 GG[7]"
Nome abitanti,"(IT) bosani (SC) bosincos, busincos[8] o, contratto, 'osincos"
Patrono,santi Emilio e Priamo
Giorno festivo,28 maggio
PIL procapite,(nominale) 15 658 €[9]
Cartografia,Cartografia
Bosa,Bosa
Bosa – MappaPosizione del comune di Bosa all'interno della provincia di Oristano,Bosa – MappaPosizione del comune di Bosa all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
