Provincia di Oristano provincia,Provincia di Oristano provincia.1
(SC) Provìntzia de Aristanis (SRO) Provìncia de Aristànis,(SC) Provìntzia de Aristanis (SRO) Provìncia de Aristànis
(dettagli)  (dettagli),(dettagli)  (dettagli)
Provincia di Oristano – Veduta,Provincia di Oristano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Amministrazione,Amministrazione
Capoluogo,Oristano
Presidente,Paolo Pireddu (FdI) dal 29-9-2025
Data di istituzione,28 agosto 1974
Territorio,Territorio
Coordinate del capoluogo,39°54′N 8°35′E
Superficie,2 990[1] km²
Abitanti,147 203[2] (31-7-2025)
Densità,"49,23 ab./km²"
Comuni,87 comuni
Province confinanti,"Cagliari, Medio Campidano, Nuoro, Sassari"
Altre informazioni,Altre informazioni
Cod. postale,09070 – 09086 09088 – 09099 09170
Prefisso,"0782, 0783, 0785"
Fuso orario,UTC+1
ISO 3166-2,IT-OR
Codice ISTAT,115
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cartografia,Cartografia
Provincia di Oristano – Localizzazione,Provincia di Oristano – Localizzazione
Provincia di Oristano – MappaPosizione della provincia di Oristano all'interno della Sardegna,Provincia di Oristano – MappaPosizione della provincia di Oristano all'interno della Sardegna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
