Ales comune,Ales comune.1
(IT) Ales (SC) Àbas,(IT) Ales (SC) Àbas
,
Ales – Veduta,Ales – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Francesco Mereu (lista civica) dal 10-6-2018 (2º mandato dal 29-5-2023)
Territorio,Territorio
Coordinate,39°46′N 8°49′E
Altitudine,194[1] m s.l.m.
Superficie,"22,45 km²"
Abitanti,1 229[2] (30-11-2025)
Densità,"54,74 ab./km²"
Frazioni,Zeppara
Comuni confinanti,"Albagiara, Curcuris, Gonnosnò, Marrubiu, Morgongiori, Palmas Arborea, Pau, Santa Giusta, Usellus, Villa Verde"
Altre informazioni,Altre informazioni
Cod. postale,09091
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095004
Cod. catastale,A180
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona C, 1 204 GG[4]"
Nome abitanti,(IT) aleresi (SC) abaresus
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Ales,Ales
Ales – MappaPosizione del comune di Ales all'interno della provincia di Oristano,Ales – MappaPosizione del comune di Ales all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
