Baratili San Pietro comune,Baratili San Pietro comune.1
(IT) Baratili San Pietro (SC) Boàtiri,(IT) Baratili San Pietro (SC) Boàtiri
,
Baratili San Pietro – VedutaChiesa di San Pietro,Baratili San Pietro – VedutaChiesa di San Pietro
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Alberto Pippia (lista civica) dall'11-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,39°59′34″N 8°33′20″E
Altitudine,11 m s.l.m.
Superficie,"6,1 km²"
Abitanti,1 194[1] (30-11-2025)
Densità,"195,74 ab./km²"
Comuni confinanti,"Nurachi, Oristano, Riola Sardo, San Vero Milis, Zeddiani"
Altre informazioni,Altre informazioni
Cod. postale,09070
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095011
Cod. catastale,A621
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) baratilesi (SC) boatiresus
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Baratili San Pietro,Baratili San Pietro
Baratili San Pietro – MappaPosizione del comune di Baratili San Pietro all'interno della provincia di Oristano,Baratili San Pietro – MappaPosizione del comune di Baratili San Pietro all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
