Narbolia comune,Narbolia comune.1
,
Narbolia – VedutaChiesa di Santa Reparata,Narbolia – VedutaChiesa di Santa Reparata
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Gian Giuseppe Vargiu (lista civica) dal 10-6-2018 (2º mandato dal 29-5-2023)
Territorio,Territorio
Coordinate,40°02′53″N 8°34′35″E
Altitudine,57 m s.l.m.
Superficie,"40,5 km²"
Abitanti,1 622[1] (30-11-2025)
Densità,"40,05 ab./km²"
Comuni confinanti,"Cuglieri, Riola Sardo, San Vero Milis, Seneghe."
Altre informazioni,Altre informazioni
Cod. postale,09070
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095031
Cod. catastale,F840
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 050 GG[3]"
Nome abitanti,(IT) narboliesi (SC) narabuiesus
Patrono,santa Reparata
Giorno festivo,8 ottobre
Cartografia,Cartografia
Narbolia,Narbolia
Narbolia – MappaPosizione del comune di Narbolia all'interno della provincia di Oristano,Narbolia – MappaPosizione del comune di Narbolia all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
