Nureci comune,Nureci comune.1
"(IT, SC) Nureci","(IT, SC) Nureci"
(dettagli)  (dettagli),(dettagli)  (dettagli)
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Emanuel Atzori (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,39°49′23.83″N 8°58′29.05″E
Altitudine,335 m s.l.m.
Superficie,"12,87 km²"
Abitanti,286[1] (30-11-2025)
Densità,"22,22 ab./km²"
Comuni confinanti,"Assolo, Genoni (CA), Laconi, Senis"
Altre informazioni,Altre informazioni
Cod. postale,09080
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095036
Cod. catastale,F985
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) nurecesi (SC) nuracesus
Cartografia,Cartografia
Nureci,Nureci
Nureci – MappaPosizione del comune di Nureci all'interno della provincia di Oristano,Nureci – MappaPosizione del comune di Nureci all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
